bid,use1_gf,use2_gf,steps_lb,steps_ub,f0_tag,f0_cap,f0_elv,f0_scale,f1_tag,f1_cap,f1_elv,f1_scale,f2_tag,f2_cap,f2_elv,f2_scale,f5_tag,f5_cap,f5_elv,f5_scale
2744000,resi,sfd,1.6,3.7,IBI2020_mf_struc_resi-sfd-std,10000.0,0.4,230.0,IBI2017_mf_cont_resi,1000000.0,0.4,230.0,IBI2020_cel_struc_bsmt,10000.0,-2.3,230.0,IBI2020_gen_struc_resi-sfd-std,1000.0,0.4,230.0
2780000,resi,sfd,3.0,6.0,IBI2020_mf_struc_resi-sfd-std,118000.0,0.7,120.0,IBI2017_mf_cont_resi,1000000.0,0.7,120.0,IBI2020_cel_struc_bsmt,59000.0,-2.0,120.0,IBI2020_gen_struc_resi-sfd-std,59000.0,0.7,120.0
2781000,resi,mf,7.0,10.0,IBI2020_mf_struc_resi-mf-std,74000.0,1.3,230.0,IBI2017_mf_cont_resi,1000000.0,1.3,230.0,IBI2020_cel_struc_bsmt,37000.0,-1.4,230.0,IBI2020_gen_struc_resi-mf-std,37000.0,1.3,230.0
2773000,nrp,comy,0.6,2.7,IBI2020_mf_struc_nrp,44000.0,0.2,270.0,okNRP_mf_cont_nrp-6x,1000000.0,0.2,270.0,IBI2020_cel_struc_bsmt,22000.0,-2.5,270.0,,,,
2776000,resi,sfd,1.6,3.8,IBI2020_mf_struc_resi-sfd-std,171000.0,0.4,170.0,IBI2017_mf_cont_resi,1000000.0,0.4,170.0,IBI2020_cel_struc_bsmt,86000.0,-2.3,170.0,IBI2020_gen_struc_resi-sfd-std,86000.0,0.4,170.0
2770000,resi,sfd,0.9,2.9,IBI2020_mf_struc_resi-sfd-std,194000.0,0.3,190.0,IBI2017_mf_cont_resi,1000000.0,0.3,190.0,IBI2020_cel_struc_crwl,97000.0,-2.4,190.0,IBI2020_gen_struc_resi-sfd-std,97000.0,0.3,190.0
2772000,resi,sfd,1.7,3.8,IBI2020_mf_struc_resi-sfd-std,139000.0,0.4,160.0,IBI2017_mf_cont_resi,1000000.0,0.4,160.0,IBI2020_cel_struc_bsmt,70000.0,-2.3,160.0,IBI2020_gen_struc_resi-sfd-std,70000.0,0.4,160.0
2768000,resi,sfd,1.7,3.9,IBI2020_mf_struc_resi-sfd-std,72000.0,0.4,60.0,IBI2017_mf_cont_resi,1000000.0,0.4,60.0,IBI2020_cel_struc_bsmt,36000.0,-2.3,60.0,IBI2020_gen_struc_resi-sfd-std,36000.0,0.4,60.0
2769000,resi,sfd,1.7,3.9,IBI2020_mf_struc_resi-sfd-std,72000.0,0.4,60.0,IBI2017_mf_cont_resi,1000000.0,0.4,60.0,IBI2020_cel_struc_bsmt,36000.0,-2.3,60.0,IBI2020_gen_struc_resi-sfd-std,36000.0,0.4,60.0
2766000,resi,sfd,1.7,3.8,IBI2020_mf_struc_resi-sfd-std,94000.0,0.4,100.0,IBI2017_mf_cont_resi,1000000.0,0.4,100.0,IBI2020_cel_struc_crwl,47000.0,-2.3,100.0,IBI2020_gen_struc_resi-sfd-std,47000.0,0.4,100.0
2767000,resi,sfd,1.6,3.8,IBI2020_mf_struc_resi-sfd-hi,212000.0,0.4,170.0,IBI2017_mf_cont_resi,1000000.0,0.4,170.0,IBI2020_cel_struc_bsmt,106000.0,-2.3,170.0,IBI2020_gen_struc_resi-sfd-hi,106000.0,0.4,170.0
2762000,nrp,retail,-0.3,1.7,IBI2020_mf_struc_nrp-retail-s1,106000.0,0.1,470.0,okNRP_mf_cont_nrp-retail,1000000.0,0.1,470.0,IBI2020_cel_struc_bsmt,53000.0,-2.6,470.0,IBI2020_gen_struc_nrp-retail-5,53000.0,0.1,470.0
