xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
472,,0.0,0.0,0.0,0.0,,0.0
475,0.0,6003.94415,6161.43685,6161.43685,6161.43685,6161.43685,755.2178
476,,0.0,0.0,0.0,0.0,,0.0
478,0.0,0.0,82.39924,311.93998,1059.4188,1557.73801,7.30803
480,,0.0,0.0,0.0,0.0,,0.0
482,,0.0,0.0,0.0,0.0,,0.0
483,,0.0,0.0,0.0,0.0,,0.0
484,,0.0,0.0,0.0,0.0,,0.0
485,,0.0,0.0,0.0,0.0,,0.0
489,0.0,1157.94267,1181.98258,1191.0128,1191.0128,1191.0128,145.53176
491,0.0,2734.15388,9969.65866,33576.74338,65519.6631,86814.94291,868.98301
492,0.0,4719.3002,10200.81831,14354.82104,16181.42788,17399.16577,793.12395
494,0.0,1127.9212,1544.89032,1631.8685,1631.8685,1631.8685,154.15156
496,,0.0,0.0,0.0,0.0,,0.0
500,,0.0,0.0,0.0,0.0,,0.0
502,,0.0,0.0,0.0,0.0,,0.0
508,0.0,38.673,77.346,79.4945,79.4945,79.4945,6.01043
509,,0.0,0.0,0.0,0.0,,0.0
511,,0.0,0.0,0.0,0.0,,0.0
512,,0.0,0.0,0.0,0.0,,0.0
513,,0.0,0.0,0.0,0.0,,0.0
516,,0.0,0.0,0.0,0.0,,0.0
519,0.0,2073.0368,3257.8728,3308.67584,3350.95488,3379.14091,295.23187
521,,0.0,0.0,0.0,0.0,,0.0
522,,0.0,0.0,0.0,0.0,,0.0
525,0.0,288.03467,443.98358,737.95179,917.89284,1037.85354,43.63732
527,,0.0,0.0,0.0,0.0,,0.0
528,0.0,1307.9075,1319.965,1319.965,1319.965,1319.965,163.85016
530,,0.0,0.0,0.0,0.0,,0.0
533,0.0,4505.84996,4518.06584,4520.78048,4520.78048,4520.78048,563.61808
534,0.0,257.6902,699.24584,1422.17132,2292.04986,2871.96889,54.50438
537,0.0,14405.92842,15884.50942,16983.20884,17658.80662,18109.20514,1856.15372
540,0.0,50683.96424,53149.4093,53520.03176,53520.03176,53520.03176,6412.23855
542,0.0,2.98608,26.99914,98.97611,155.96047,193.95004,1.87091
545,,0.0,0.0,0.0,0.0,,0.0
546,0.0,0.0,1.38816,18.04608,66.05328,98.05808,0.36661
547,0.0,2807.90163,3527.63442,4019.87403,4406.81112,4664.76918,377.88372
548,,0.0,0.0,0.0,0.0,,0.0
551,,0.0,0.0,0.0,0.0,,0.0
552,0.0,3512.68008,3977.59362,4334.55715,4601.45196,4779.38183,456.8217
553,0.0,0.0,116.7175,779.6729,1404.34496,1820.793,11.07649
554,0.0,284.15352,1044.89364,2613.13332,3846.86316,4669.34972,75.24373
