xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
189,0.0,7223.0,7223.0,7223.0,7223.0,7223.0,902.875
190,0.0,62395.5521,97489.3514,118301.0199,121220.5715,123166.93923,9020.5103
191,0.0,189.8579,1298.0982,1624.8304,3576.393,4877.43473,67.56145
192,0.0,19188.3675,31514.0718,51334.5267,79643.0124,98515.3362,3034.9225
193,0.0,0.0,36758.5161,89234.6839,185997.4615,250505.9799,1899.50498
194,0.0,66292.235,93916.8575,114065.17,115694.1825,116780.19083,9273.16795
195,0.0,69730.7429,146236.9426,193503.8198,196488.2472,198477.86547,11378.46555
196,,0.0,0.0,0.0,0.0,,0.0
197,,0.0,0.0,0.0,0.0,,0.0
198,,0.0,0.0,0.0,0.0,,0.0
199,,0.0,0.0,0.0,0.0,,0.0
200,0.0,0.0,654.9444,654.9444,4227.3684,6608.9844,34.53343
201,,0.0,0.0,0.0,0.0,,0.0
202,,0.0,0.0,0.0,0.0,,0.0
203,,0.0,0.0,0.0,0.0,,0.0
204,0.0,0.0,0.0,5.7568,4874.5704,8120.44613,20.3299
205,0.0,0.0,650.3826,3899.5629,6500.1824,8233.92873,54.71624
206,0.0,0.0,11696.7765,13501.7613,32394.7272,44990.0378,443.16137
207,0.0,0.0,206.9676,618.4962,3576.2076,5548.0152,21.61929
208,0.0,977.1372,2273.7231,3250.8603,5844.0321,7572.8133,179.17314
209,0.0,1944.1485,13331.304,20793.1311,57528.2799,82018.3791,793.66005
210,,0.0,0.0,0.0,0.0,,0.0
211,,0.0,0.0,0.0,0.0,,0.0
212,,0.0,0.0,0.0,0.0,,0.0
213,0.0,261707.697,363797.2761,751407.5949,799505.2257,831570.3129,38883.63368
214,0.0,0.0,0.0,3788.5536,9708.1686,13654.5786,53.07921
215,0.0,0.0,343193.9964,475174.567,680712.6057,817737.96483,12142.08267
216,0.0,1950.0713,2599.6477,2599.6477,2924.4359,3140.96137,264.59949
217,0.0,2275.2996,2275.2996,2600.3424,3575.4708,4225.5564,290.91331
218,0.0,179.426,1625.546,1949.584,2600.338,3034.174,70.95361
219,0.0,9103.239,12026.907,12669.228,16899.687,19719.993,1248.05924
220,0.0,0.0,0.0,0.0,293.0112,488.352,1.22088
221,0.0,38.6088,1298.2209,1298.2209,8127.1524,12679.7734,71.06834
222,0.0,1299.9649,1950.767,1950.767,2599.9298,3032.705,184.72452
223,0.0,188.8152,508.0028,509.1267,974.4213,1284.6177,35.12468
224,,0.0,0.0,0.0,0.0,,0.0
225,,0.0,0.0,0.0,0.0,,0.0
226,0.0,1403.182,2245.0912,5332.0916,8980.3648,11412.54693,239.00867
227,0.0,6823.845,10073.295,12022.965,16572.195,19605.015,984.04178
228,0.0,395206.3349,630729.6684,754402.1524,835516.7522,889593.15207,57732.013
229,0.0,0.0,36069.9914,75708.7452,206414.6681,293551.95003,1923.99841
230,0.0,117.7935,424.0566,918.7893,3910.7442,5905.3808,40.08905
231,,0.0,0.0,0.0,0.0,,0.0
232,0.0,3308.9245,6617.849,8697.7444,14370.1864,18151.8144,552.11769
233,0.0,1628.9658,6836.7201,8441.0046,10390.8273,11690.7091,380.00975
234,0.0,0.0,30.3908,30.3908,147.8098,226.08913,1.40097
235,0.0,1622.754,4549.7214,4549.7214,6172.4754,7254.3114,297.41475
236,0.0,974.7322,3250.5018,3250.5018,4549.4475,5415.4113,195.52689
237,0.0,2599.7636,3575.3109,3575.3109,4549.5863,5199.10323,358.29635
238,0.0,0.0,145.4089,974.8872,5199.3984,8015.7392,28.18548
239,0.0,975.0965,2274.8214,3249.9179,12113.0,18021.7214,205.12154
