bid,0.2,0.05,0.01,0.005,0.002,0.0,ead
207026,0.0,0.0,0.5,0.5,0.5,0.5,0.015
207027,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207028,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207029,0.0,0.0,0.5,0.5,0.5,0.5,0.015
207030,0.0,0.0,0.5,0.5,0.5,0.5,0.015
207031,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207032,0.0,0.0,0.5,0.5,0.5,0.5,0.015
207033,0.0,0.0,0.5,0.5,0.5,0.5,0.015
207034,0.0,0.0,0.0,0.5,0.5,0.5,0.004
207035,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207036,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207037,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207038,0.0,0.0,0.5,0.5,0.5,0.5,0.015
207039,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207040,0.0,0.0,0.5,0.5,0.5,0.5,0.015
207041,0.0,0.5,0.5,0.5,0.5,0.5,0.062
207042,0.0,0.0,0.0,0.0,0.5,0.833,0.002
207043,,0.0,0.0,0.0,0.0,,0.0
208000,0.0,0.0,0.74,0.74,0.74,0.74,0.022
210000,0.0,0.0,0.0,0.0,0.96,1.6,0.004
211000,0.0,0.71,0.71,0.71,0.71,0.71,0.089
213000,,0.0,0.0,0.0,0.0,,0.0
214000,,0.0,0.0,0.0,0.0,,0.0
215000,0.0,0.0,0.0,0.96,0.96,0.96,0.007
220000,0.0,0.0,0.71,0.71,0.71,0.71,0.021
223001,0.0,0.0,0.0,0.0,2.89,4.817,0.012
225000,0.0,0.0,0.68,0.68,0.68,0.68,0.02
225001,0.0,0.68,0.68,0.68,0.68,0.68,0.085
226000,,0.0,0.0,0.0,0.0,,0.0
229000,,0.0,0.0,0.0,0.0,,0.0
231000,,0.0,0.0,0.0,0.0,,0.0
232000,,0.0,0.0,0.0,0.0,,0.0
233000,0.0,0.0,0.84,0.84,0.84,0.84,0.025
234000,0.0,5.13,5.13,5.13,5.13,5.13,0.641
235000,0.0,0.0,0.78,0.78,0.78,0.78,0.023
237000,0.0,0.0,0.27,0.27,0.27,0.27,0.008
237001,0.0,0.27,0.27,0.27,0.27,0.27,0.034
238000,0.0,8.94,8.94,8.94,8.94,8.94,1.118
239001,,0.0,0.0,0.0,0.0,,0.0
240000,,0.0,0.0,0.0,0.0,,0.0
243000,,0.0,0.0,0.0,0.0,,0.0
244001,,0.0,0.0,0.0,0.0,,0.0
249000,0.0,0.34,0.34,0.34,0.34,0.34,0.042
250000,0.0,0.0,0.34,0.34,0.34,0.34,0.01
250001,0.0,0.0,0.34,0.34,0.34,0.34,0.01
251000,,0.0,0.0,0.0,0.0,,0.0
252000,,0.0,0.0,0.0,0.0,,0.0
253000,0.0,0.0,0.0,0.0,0.59,0.983,0.002
254000,0.0,0.0,0.0,0.27,0.27,0.27,0.002
254001,,0.0,0.0,0.0,0.0,,0.0
254003,,0.0,0.0,0.0,0.0,,0.0
254004,0.0,0.0,0.0,1.76,1.76,1.76,0.013
254006,0.0,0.33,0.33,0.33,0.33,0.33,0.041
254007,0.0,0.33,0.33,0.33,0.33,0.33,0.041
254008,0.0,0.33,0.33,0.33,0.33,0.33,0.041
254009,0.0,0.33,0.33,0.33,0.33,0.33,0.041
254010,,0.0,0.0,0.0,0.0,,0.0
254012,,0.0,0.0,0.0,0.0,,0.0
254026,,0.0,0.0,0.0,0.0,,0.0
254027,0.0,0.0,0.08,0.08,0.08,0.08,0.002
254032,0.0,0.15,0.15,0.15,0.15,0.15,0.019
254033,0.0,0.0,0.1,0.1,0.1,0.1,0.003
254034,,0.0,0.0,0.0,0.0,,0.0
254035,0.0,0.1,0.1,0.1,0.1,0.1,0.012
254036,0.0,0.46,0.46,0.46,0.46,0.46,0.058
254037,0.0,0.46,0.46,0.46,0.46,0.46,0.058
254039,0.0,0.25,0.25,0.25,0.25,0.25,0.031
254041,0.0,0.46,0.46,0.46,0.46,0.46,0.058
254042,0.0,0.46,0.46,0.46,0.46,0.46,0.058
254043,0.0,0.46,0.46,0.46,0.46,0.46,0.058
254047,,0.0,0.0,0.0,0.0,,0.0
254061,,0.0,0.0,0.0,0.0,,0.0
254062,,0.0,0.0,0.0,0.0,,0.0
254073,0.0,0.0,0.0,0.0,0.47,0.783,0.002
254076,0.0,0.47,0.47,0.47,0.47,0.47,0.059
254082,,0.0,0.0,0.0,0.0,,0.0
254083,,0.0,0.0,0.0,0.0,,0.0
254084,,0.0,0.0,0.0,0.0,,0.0
254088,0.0,0.0,0.0,0.0,0.23,0.383,0.001
254089,0.0,0.0,0.0,0.0,0.25,0.417,0.001
254090,,0.0,0.0,0.0,0.0,,0.0
254094,,0.0,0.0,0.0,0.0,,0.0
254095,,0.0,0.0,0.0,0.0,,0.0
254096,,0.0,0.0,0.0,0.0,,0.0
254099,0.0,0.25,0.25,0.25,0.25,0.25,0.031
254100,,0.0,0.0,0.0,0.0,,0.0
254106,,0.0,0.0,0.0,0.0,,0.0
254107,,0.0,0.0,0.0,0.0,,0.0
254110,0.0,0.34,0.34,0.34,0.34,0.34,0.042
254111,,0.0,0.0,0.0,0.0,,0.0
254121,,0.0,0.0,0.0,0.0,,0.0
254132,,0.0,0.0,0.0,0.0,,0.0
254134,0.0,0.41,0.41,0.41,0.41,0.41,0.051
254135,0.0,0.41,0.41,0.41,0.41,0.41,0.051
254137,0.0,0.21,0.21,0.21,0.21,0.21,0.026
254140,,0.0,0.0,0.0,0.0,,0.0
254143,0.0,0.25,0.25,0.25,0.25,0.25,0.031
254147,,0.0,0.0,0.0,0.0,,0.0
254148,,0.0,0.0,0.0,0.0,,0.0
254151,,0.0,0.0,0.0,0.0,,0.0
254160,,0.0,0.0,0.0,0.0,,0.0
254161,,0.0,0.0,0.0,0.0,,0.0
254162,,0.0,0.0,0.0,0.0,,0.0
254163,,0.0,0.0,0.0,0.0,,0.0
254168,,0.0,0.0,0.0,0.0,,0.0
254170,,0.0,0.0,0.0,0.0,,0.0
254174,,0.0,0.0,0.0,0.0,,0.0
254176,0.0,0.0,0.18,0.18,0.18,0.18,0.005
254178,,0.0,0.0,0.0,0.0,,0.0
254179,,0.0,0.0,0.0,0.0,,0.0
254180,,0.0,0.0,0.0,0.0,,0.0
254189,,0.0,0.0,0.0,0.0,,0.0
254190,,0.0,0.0,0.0,0.0,,0.0
254191,,0.0,0.0,0.0,0.0,,0.0
254192,,0.0,0.0,0.0,0.0,,0.0
254193,0.0,0.0,0.0,0.18,0.18,0.18,0.001
254195,0.0,0.0,0.0,0.0,0.18,0.3,0.001
254202,,0.0,0.0,0.0,0.0,,0.0
254204,,0.0,0.0,0.0,0.0,,0.0
254205,,0.0,0.0,0.0,0.0,,0.0
254206,,0.0,0.0,0.0,0.0,,0.0
254207,,0.0,0.0,0.0,0.0,,0.0
254213,,0.0,0.0,0.0,0.0,,0.0
254214,,0.0,0.0,0.0,0.0,,0.0
254215,,0.0,0.0,0.0,0.0,,0.0
254216,,0.0,0.0,0.0,0.0,,0.0
254217,,0.0,0.0,0.0,0.0,,0.0
254218,,0.0,0.0,0.0,0.0,,0.0
254219,,0.0,0.0,0.0,0.0,,0.0
254220,,0.0,0.0,0.0,0.0,,0.0
254221,,0.0,0.0,0.0,0.0,,0.0
254222,,0.0,0.0,0.0,0.0,,0.0
254223,,0.0,0.0,0.0,0.0,,0.0
254226,,0.0,0.0,0.0,0.0,,0.0
254227,,0.0,0.0,0.0,0.0,,0.0
254228,,0.0,0.0,0.0,0.0,,0.0
254229,,0.0,0.0,0.0,0.0,,0.0
254232,,0.0,0.0,0.0,0.0,,0.0
254233,,0.0,0.0,0.0,0.0,,0.0
254235,,0.0,0.0,0.0,0.0,,0.0
254236,,0.0,0.0,0.0,0.0,,0.0
254239,,0.0,0.0,0.0,0.0,,0.0
254242,,0.0,0.0,0.0,0.0,,0.0
254243,,0.0,0.0,0.0,0.0,,0.0
254248,,0.0,0.0,0.0,0.0,,0.0
254252,,0.0,0.0,0.0,0.0,,0.0
254254,,0.0,0.0,0.0,0.0,,0.0
254258,,0.0,0.0,0.0,0.0,,0.0
254259,,0.0,0.0,0.0,0.0,,0.0
254265,,0.0,0.0,0.0,0.0,,0.0
254274,,0.0,0.0,0.0,0.0,,0.0
254303,,0.0,0.0,0.0,0.0,,0.0
254306,,0.0,0.0,0.0,0.0,,0.0
254307,,0.0,0.0,0.0,0.0,,0.0
254314,,0.0,0.0,0.0,0.0,,0.0
254317,,0.0,0.0,0.0,0.0,,0.0
254324,,0.0,0.0,0.0,0.0,,0.0
254326,0.0,0.16,0.16,0.16,0.16,0.16,0.02
254330,,0.0,0.0,0.0,0.0,,0.0
254336,,0.0,0.0,0.0,0.0,,0.0
254344,,0.0,0.0,0.0,0.0,,0.0
254369,0.0,0.0,0.06,0.06,0.06,0.06,0.002
254370,0.0,0.0,0.06,0.06,0.06,0.06,0.002
254372,0.0,0.24,0.24,0.24,0.24,0.24,0.03
254374,0.0,0.0,0.0,0.0,0.24,0.4,0.001
254375,0.0,0.0,0.0,0.0,0.24,0.4,0.001
254378,0.0,0.0,0.24,0.24,0.24,0.24,0.007
254379,0.0,0.24,0.24,0.24,0.24,0.24,0.03
254381,0.0,0.0,0.24,0.24,0.24,0.24,0.007
254383,0.0,0.0,0.24,0.24,0.24,0.24,0.007
254394,0.0,0.0,1.76,1.76,1.76,1.76,0.053
254397,0.0,0.33,0.33,0.33,0.33,0.33,0.041
254398,0.0,0.33,0.33,0.33,0.33,0.33,0.041
254400,0.0,0.0,0.0,0.41,0.41,0.41,0.003
254409,,0.0,0.0,0.0,0.0,,0.0
254413,,0.0,0.0,0.0,0.0,,0.0
254414,,0.0,0.0,0.0,0.0,,0.0
254415,0.0,0.1,0.1,0.1,0.1,0.1,0.012
254416,0.0,0.46,0.46,0.46,0.46,0.46,0.058
254417,0.0,0.46,0.46,0.46,0.46,0.46,0.058
254418,,0.0,0.0,0.0,0.0,,0.0
254419,0.0,0.47,0.47,0.47,0.47,0.47,0.059
254422,0.0,0.0,0.0,0.0,0.27,0.45,0.001
254424,,0.0,0.0,0.0,0.0,,0.0
254425,,0.0,0.0,0.0,0.0,,0.0
254426,,0.0,0.0,0.0,0.0,,0.0
254427,,0.0,0.0,0.0,0.0,,0.0
254428,,0.0,0.0,0.0,0.0,,0.0
254429,,0.0,0.0,0.0,0.0,,0.0
254431,,0.0,0.0,0.0,0.0,,0.0
254432,0.0,0.33,0.33,0.33,0.33,0.33,0.041
254433,0.0,0.0,0.0,0.0,0.33,0.55,0.001
