xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
502,,0.0,0.0,0.0,0.0,,0.0
503,,0.0,0.0,0.0,0.0,,0.0
504,,0.0,0.0,0.0,0.0,,0.0
506,,0.0,0.0,0.0,0.0,,0.0
507,,0.0,0.0,0.0,0.0,,0.0
508,,0.0,0.0,0.0,0.0,,0.0
509,,0.0,0.0,0.0,0.0,,0.0
510,,0.0,0.0,0.0,0.0,,0.0
511,,0.0,0.0,0.0,0.0,,0.0
518,,0.0,0.0,0.0,0.0,,0.0
520,,0.0,0.0,0.0,0.0,,0.0
521,,0.0,0.0,0.0,0.0,,0.0
522,,0.0,0.0,0.0,0.0,,0.0
523,,0.0,0.0,0.0,0.0,,0.0
524,,0.0,0.0,0.0,0.0,,0.0
525,,0.0,0.0,0.0,0.0,,0.0
527,,0.0,0.0,0.0,0.0,,0.0
529,,0.0,0.0,0.0,0.0,,0.0
530,,0.0,0.0,0.0,0.0,,0.0
531,,0.0,0.0,0.0,0.0,,0.0
532,,0.0,0.0,0.0,0.0,,0.0
533,,0.0,0.0,0.0,0.0,,0.0
534,,0.0,0.0,0.0,0.0,,0.0
535,,0.0,0.0,0.0,0.0,,0.0
536,,0.0,0.0,0.0,0.0,,0.0
537,,0.0,0.0,0.0,0.0,,0.0
538,,0.0,0.0,0.0,0.0,,0.0
539,,0.0,0.0,0.0,0.0,,0.0
540,,0.0,0.0,0.0,0.0,,0.0
541,,0.0,0.0,0.0,0.0,,0.0
542,,0.0,0.0,0.0,0.0,,0.0
545,,0.0,0.0,0.0,0.0,,0.0
550,0.0,0.0,0.0,0.0,1.0,1.667,0.004
551,,0.0,0.0,0.0,0.0,,0.0
552,,0.0,0.0,0.0,0.0,,0.0
553,,0.0,0.0,0.0,0.0,,0.0
554,,0.0,0.0,0.0,0.0,,0.0
555,,0.0,0.0,0.0,0.0,,0.0
556,,0.0,0.0,0.0,0.0,,0.0
559,,0.0,0.0,0.0,0.0,,0.0
560,,0.0,0.0,0.0,0.0,,0.0
561,,0.0,0.0,0.0,0.0,,0.0
562,,0.0,0.0,0.0,0.0,,0.0
565,,0.0,0.0,0.0,0.0,,0.0
566,,0.0,0.0,0.0,0.0,,0.0
567,,0.0,0.0,0.0,0.0,,0.0
568,,0.0,0.0,0.0,0.0,,0.0
569,,0.0,0.0,0.0,0.0,,0.0
576,,0.0,0.0,0.0,0.0,,0.0
581,,0.0,0.0,0.0,0.0,,0.0
582,,0.0,0.0,0.0,0.0,,0.0
583,,0.0,0.0,0.0,0.0,,0.0
592,,0.0,0.0,0.0,0.0,,0.0
596,0.0,0.0,0.0,0.0,1.0,1.667,0.004
597,,0.0,0.0,0.0,0.0,,0.0
600,,0.0,0.0,0.0,0.0,,0.0
601,,0.0,0.0,0.0,0.0,,0.0
603,,0.0,0.0,0.0,0.0,,0.0
604,,0.0,0.0,0.0,0.0,,0.0
609,,0.0,0.0,0.0,0.0,,0.0
610,,0.0,0.0,0.0,0.0,,0.0
614,,0.0,0.0,0.0,0.0,,0.0
615,,0.0,0.0,0.0,0.0,,0.0
619,,0.0,0.0,0.0,0.0,,0.0
623,,0.0,0.0,0.0,0.0,,0.0
624,,0.0,0.0,0.0,0.0,,0.0
625,,0.0,0.0,0.0,0.0,,0.0
626,,0.0,0.0,0.0,0.0,,0.0
630,,0.0,0.0,0.0,0.0,,0.0
632,,0.0,0.0,0.0,0.0,,0.0
642,,0.0,0.0,0.0,0.0,,0.0
647,,0.0,0.0,0.0,0.0,,0.0
648,,0.0,0.0,0.0,0.0,,0.0
659,,0.0,0.0,0.0,0.0,,0.0
662,,0.0,0.0,0.0,0.0,,0.0
663,,0.0,0.0,0.0,0.0,,0.0
664,,0.0,0.0,0.0,0.0,,0.0
666,,0.0,0.0,0.0,0.0,,0.0
670,,0.0,0.0,0.0,0.0,,0.0
677,,0.0,0.0,0.0,0.0,,0.0
678,,0.0,0.0,0.0,0.0,,0.0
680,,0.0,0.0,0.0,0.0,,0.0
682,,0.0,0.0,0.0,0.0,,0.0
691,,0.0,0.0,0.0,0.0,,0.0
693,,0.0,0.0,0.0,0.0,,0.0
694,,0.0,0.0,0.0,0.0,,0.0
695,,0.0,0.0,0.0,0.0,,0.0
698,,0.0,0.0,0.0,0.0,,0.0
703,,0.0,0.0,0.0,0.0,,0.0
705,,0.0,0.0,0.0,0.0,,0.0
706,,0.0,0.0,0.0,0.0,,0.0
707,,0.0,0.0,0.0,0.0,,0.0
728,,0.0,0.0,0.0,0.0,,0.0
733,,0.0,0.0,0.0,0.0,,0.0
736,,0.0,0.0,0.0,0.0,,0.0
737,,0.0,0.0,0.0,0.0,,0.0
738,,0.0,0.0,0.0,0.0,,0.0
741,,0.0,0.0,0.0,0.0,,0.0
742,,0.0,0.0,0.0,0.0,,0.0
743,,0.0,0.0,0.0,0.0,,0.0
744,,0.0,0.0,0.0,0.0,,0.0
745,,0.0,0.0,0.0,0.0,,0.0
746,,0.0,0.0,0.0,0.0,,0.0
747,,0.0,0.0,0.0,0.0,,0.0
748,,0.0,0.0,0.0,0.0,,0.0
749,,0.0,0.0,0.0,0.0,,0.0
750,0.0,0.0,0.0,0.0,1.0,1.667,0.004
751,,0.0,0.0,0.0,0.0,,0.0
752,,0.0,0.0,0.0,0.0,,0.0
753,,0.0,0.0,0.0,0.0,,0.0
754,,0.0,0.0,0.0,0.0,,0.0
755,,0.0,0.0,0.0,0.0,,0.0
756,,0.0,0.0,0.0,0.0,,0.0
757,,0.0,0.0,0.0,0.0,,0.0
758,,0.0,0.0,0.0,0.0,,0.0
759,,0.0,0.0,0.0,0.0,,0.0
761,,0.0,0.0,0.0,0.0,,0.0
763,,0.0,0.0,0.0,0.0,,0.0
764,0.0,0.0,1.0,1.0,1.0,1.0,0.03
765,,0.0,0.0,0.0,0.0,,0.0
766,0.0,0.0,0.0,0.0,1.0,1.667,0.004
767,0.0,0.0,0.0,0.0,1.0,1.667,0.004
768,,0.0,0.0,0.0,0.0,,0.0
769,,0.0,0.0,0.0,0.0,,0.0
771,,0.0,0.0,0.0,0.0,,0.0
772,,0.0,0.0,0.0,0.0,,0.0
775,,0.0,0.0,0.0,0.0,,0.0
777,,0.0,0.0,0.0,0.0,,0.0
779,,0.0,0.0,0.0,0.0,,0.0
780,,0.0,0.0,0.0,0.0,,0.0
781,,0.0,0.0,0.0,0.0,,0.0
782,,0.0,0.0,0.0,0.0,,0.0
783,,0.0,0.0,0.0,0.0,,0.0
787,,0.0,0.0,0.0,0.0,,0.0
788,,0.0,0.0,0.0,0.0,,0.0
790,,0.0,0.0,0.0,0.0,,0.0
791,,0.0,0.0,0.0,0.0,,0.0
792,,0.0,0.0,0.0,0.0,,0.0
793,,0.0,0.0,0.0,0.0,,0.0
794,,0.0,0.0,0.0,0.0,,0.0
795,,0.0,0.0,0.0,0.0,,0.0
796,,0.0,0.0,0.0,0.0,,0.0
797,0.0,0.0,0.0,0.0,1.0,1.667,0.004
799,,0.0,0.0,0.0,0.0,,0.0
800,,0.0,0.0,0.0,0.0,,0.0
801,,0.0,0.0,0.0,0.0,,0.0
802,0.0,0.0,0.0,0.0,1.0,1.667,0.004
803,,0.0,0.0,0.0,0.0,,0.0
804,0.0,0.0,0.0,0.0,1.0,1.667,0.004
806,,0.0,0.0,0.0,0.0,,0.0
807,0.0,0.0,0.0,0.0,1.0,1.667,0.004
809,,0.0,0.0,0.0,0.0,,0.0
810,,0.0,0.0,0.0,0.0,,0.0
811,,0.0,0.0,0.0,0.0,,0.0
812,,0.0,0.0,0.0,0.0,,0.0
813,0.0,0.0,0.0,0.0,1.0,1.667,0.004
814,,0.0,0.0,0.0,0.0,,0.0
816,,0.0,0.0,0.0,0.0,,0.0
817,,0.0,0.0,0.0,0.0,,0.0
818,,0.0,0.0,0.0,0.0,,0.0
819,,0.0,0.0,0.0,0.0,,0.0
820,,0.0,0.0,0.0,0.0,,0.0
821,,0.0,0.0,0.0,0.0,,0.0
822,,0.0,0.0,0.0,0.0,,0.0
823,,0.0,0.0,0.0,0.0,,0.0
824,,0.0,0.0,0.0,0.0,,0.0
825,,0.0,0.0,0.0,0.0,,0.0
