bid,CSDUID,DAUID,use1_gf,use2_gf,Bdrm_up,pop_ref,ref_val,pop_est,occu_rate,f0_elv,f0_scale
9753000,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9757000,5907028,59070281,resi,mh,1,mh,1.7,1.7,0.92,0.1,1.56
9757001,5907028,59070281,resi,mh,1,mh,1.7,1.7,0.92,0.1,1.56
9757002,5907028,59070281,resi,mh,1,mh,1.7,1.7,0.92,0.1,1.56
9755001,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9756002,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9758000,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9758001,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9757003,5907028,59070281,resi,mh,1,mh,1.7,1.7,0.92,0.1,1.56
9763000,5907028,59070281,resi,mh,1,mh,1.7,1.7,0.92,0.1,1.56
625001,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9758002,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
626001,5907028,59070281,resi,sfd,2,sfd2,1.8,1.8,0.92,0.1,1.66
9758003,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
627001,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9768000,5907028,59070281,resi,sfd,4,sfd4,3.5,3.5,0.92,0.1,3.22
627002,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9769000,5907028,59070281,resi,sfd,3,sfd3,2.0,2.0,0.92,0.1,1.84
627003,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
627004,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
627005,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
628001,5907028,59070281,resi,sfd,3,sfd3,2.0,2.0,0.92,0.1,1.84
9772001,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9776000,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9780000,5907028,59070279,resi,sfd,3,sfd3,2.0,2.0,0.9,0.1,1.8
9781000,5907028,59070281,resi,sfd,3,sfd3,2.0,2.0,0.92,0.1,1.84
9784000,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9779001,5907028,59070279,resi,sfd,4,sfd4,3.5,3.5,0.9,0.1,3.15
9784001,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9776001,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9786000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9787000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
630001,5907028,59070281,resi,sfd,3,sfd3,2.0,2.0,0.92,0.1,1.84
9786001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9776002,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9786002,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
629001,5907028,59070281,resi,sfd,2,sfd2,1.8,1.8,0.92,0.1,1.66
9791000,5907028,59070279,resi,sfd,3,sfd3,2.0,2.0,0.9,0.1,1.8
9772002,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9772003,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9787001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9792000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9796000,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9787002,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9792001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9799000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9800000,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9801000,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9801001,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9802000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9800001,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9799001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9800002,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9799002,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9799003,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9802001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9808000,5907802,59070303,resi,sfd,1,sfd1,1.9,1.9,0.73,0.1,1.39
9802002,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9811000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9811001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9812000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9812001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9812002,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9811002,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9813000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9813001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9801003,5907028,59070281,resi,sfd,1,sfd1,1.5,1.5,0.92,0.1,1.38
9802003,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9811003,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9817000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9818000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9818001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9817001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9817002,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9818002,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
633001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9820000,5907802,59070303,resi,sfd,1,sfd1,1.9,1.9,0.73,0.1,1.39
9825000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9836001,5907028,59070279,resi,sfd,6,sfd4,3.5,3.5,0.9,0.1,3.15
634001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9811004,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9812003,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9811005,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9843000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9851000,5907028,59070279,resi,sfd,3,sfd3,2.0,2.0,0.9,0.1,1.8
9852000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9852001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9853000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9846001,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
637001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9843001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9855000,5907028,59070279,resi,sfd,3,sfd3,2.0,2.0,0.9,0.1,1.8
9856000,5907028,59070279,resi,sfd,4,sfd4,3.5,3.5,0.9,0.1,3.15
9857000,5907028,59070279,resi,sfd,3,sfd3,2.0,2.0,0.9,0.1,1.8
9859000,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9853001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9861000,5907028,59070279,resi,sfd,3,sfd3,2.0,2.0,0.9,0.1,1.8
638001,5907028,59070279,resi,sfd,3,sfd3,2.0,2.0,0.9,0.1,1.8
9864000,5907028,59070279,resi,sfd,4,sfd4,3.5,3.5,0.9,0.1,3.15
9865000,5907028,59070279,resi,sfd,3,sfd3,2.0,2.0,0.9,0.1,1.8
9866000,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9868000,5907028,59070279,resi,sfd,3,sfd3,2.0,2.0,0.9,0.1,1.8
9869000,5907028,59070279,resi,sfd,4,sfd4,3.5,3.5,0.9,0.1,3.15
9853002,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9859001,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9871000,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9871001,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9874000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9876000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9878000,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9879000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9881000,5907028,59070279,resi,sfd,3,sfd3,2.0,2.0,0.9,0.1,1.8
9876001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9879001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9874001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9882000,5907028,59070279,resi,sfd,3,sfd3,2.0,2.0,0.9,0.1,1.8
9883000,5907028,59070279,resi,sfd,3,sfd3,2.0,2.0,0.9,0.1,1.8
9885000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9887000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9887001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9888000,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9890000,5907028,59070279,resi,mh,1,mh,1.7,1.7,0.9,0.1,1.53
9890001,5907028,59070279,resi,mh,1,mh,1.7,1.7,0.9,0.1,1.53
9893000,5907028,59070279,resi,sfd,3,sfd3,2.0,2.0,0.9,0.1,1.8
9895001,5907028,59070279,resi,sfd,3,sfd3,2.0,2.0,0.9,0.1,1.8
9896000,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9898000,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9887002,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9876002,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9887003,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9887004,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9874002,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9899000,5907028,59070279,resi,sfd,5,sfd4,3.5,3.5,0.9,0.1,3.15
9900000,5907028,59070279,resi,sfd,4,sfd4,3.5,3.5,0.9,0.1,3.15
9901000,5907028,59070279,resi,sfd,5,sfd4,3.5,3.5,0.9,0.1,3.15
9873001,5907028,59070279,resi,sfd,5,sfd4,3.5,3.5,0.9,0.1,3.15
9872001,5907028,59070279,resi,sfd,3,sfd3,2.0,2.0,0.9,0.1,1.8
643001,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9911000,5907028,59070279,resi,sfd,4,sfd4,3.5,3.5,0.9,0.1,3.15
9890002,5907028,59070279,resi,mh,1,mh,1.7,1.7,0.9,0.1,1.53
643002,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9918000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9919000,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9919001,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9918001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9919002,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9913001,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9935000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9935001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9935002,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9940000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9940001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9946000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9935003,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9949000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9949001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9949002,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9949003,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9940002,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9959000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9890003,5907028,59070279,resi,mh,1,mh,1.7,1.7,0.9,0.1,1.53
9839001,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9740002,5907028,59070281,resi,mh,1,mh,1.7,1.7,0.92,0.1,1.56
9740003,5907028,59070281,resi,mh,1,mh,1.7,1.7,0.92,0.1,1.56
598024,5907022,59070282,resi,mh,1,mh,1.77,1.77,0.83,0.1,1.47
598025,5907022,59070282,resi,mh,1,mh,1.77,1.77,0.83,0.1,1.47
598026,5907022,59070282,resi,mh,1,mh,1.77,1.77,0.83,0.1,1.47
598027,5907022,59070282,resi,mh,1,mh,1.77,1.77,0.83,0.1,1.47
598028,5907022,59070282,resi,mh,1,mh,1.77,1.77,0.83,0.1,1.47
598029,5907022,59070282,resi,mh,1,mh,1.77,1.77,0.83,0.1,1.47
9602001,5907802,59070303,resi,sfd,1,sfd1,1.9,1.9,0.73,0.1,1.39
598030,5907022,59070282,resi,mh,1,mh,1.77,1.77,0.83,0.1,1.47
9965000,5907005,59070286,resi,sfd,4,sfd4,2.7,2.7,0.6,0.1,1.62
356007,5907005,59070286,resi,sfd,6,sfd4,2.7,2.7,0.6,0.1,1.62
356008,5907005,59070286,resi,sfd,6,sfd4,2.7,2.7,0.6,0.1,1.62
356009,5907005,59070286,resi,sfd,6,sfd4,2.7,2.7,0.6,0.1,1.62
356010,5907005,59070286,resi,sfd,6,sfd4,2.7,2.7,0.6,0.1,1.62
356011,5907005,59070286,resi,sfd,6,sfd4,2.7,2.7,0.6,0.1,1.62
356012,5907005,59070286,resi,sfd,6,sfd4,2.7,2.7,0.6,0.1,1.62
356013,5907005,59070286,resi,sfd,6,sfd4,2.7,2.7,0.6,0.1,1.62
356014,5907005,59070286,resi,sfd,6,sfd4,2.7,2.7,0.6,0.1,1.62
356015,5907005,59070286,resi,sfd,6,sfd4,2.7,2.7,0.6,0.1,1.62
356016,5907005,59070286,resi,sfd,6,sfd4,2.7,2.7,0.6,0.1,1.62
356017,5907005,59070286,resi,sfd,6,sfd4,2.7,2.7,0.6,0.1,1.62
9980000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9980001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
683001,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
9996000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9996001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
10000000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
10000001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
9996002,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
691001,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
10004000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
10006000,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
10006001,5907014,59070165,resi,sfd,1,sfd1,1.4,1.4,0.97,0.1,1.36
10006002,5907014,59070165,resi,sfd,1,sfd1,1.4,1.4,0.97,0.1,1.36
686001,5907014,59070165,resi,sfd,2,sfd2,1.8,1.8,0.97,0.1,1.75
10010000,5907014,59070165,resi,sfd,2,sfd2,1.8,1.8,0.97,0.1,1.75
10011000,5907014,59070165,resi,sfd,2,sfd2,1.8,1.8,0.97,0.1,1.75
689001,5907014,59070165,resi,sfd,1,sfd1,1.4,1.4,0.97,0.1,1.36
10015000,5907014,59070165,resi,mh,1,mh,1.8,1.8,0.97,0.1,1.75
10017000,5907014,59070165,resi,sfd,2,sfd2,1.8,1.8,0.97,0.1,1.75
10007001,5907014,59070165,resi,sfd,4,sfd4,2.7,2.7,0.97,0.1,2.62
10019000,5907014,59070165,resi,sfd,1,sfd1,1.4,1.4,0.97,0.1,1.36
10004002,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
10019001,5907014,59070165,resi,sfd,1,sfd1,1.4,1.4,0.97,0.1,1.36
10019002,5907014,59070165,resi,sfd,1,sfd1,1.4,1.4,0.97,0.1,1.36
10011001,5907014,59070165,resi,sfd,2,sfd2,1.8,1.8,0.97,0.1,1.75
691002,5907028,59070279,resi,sfd,1,sfd1,1.5,1.5,0.9,0.1,1.35
10027000,5907014,59070165,resi,mh,1,mh,1.8,1.8,0.97,0.1,1.75
692001,5907014,59070165,resi,sfd,2,sfd2,1.8,1.8,0.97,0.1,1.75
10032000,5907014,59070165,resi,sfd,2,sfd2,1.8,1.8,0.97,0.1,1.75
10032001,5907014,59070165,resi,sfd,2,sfd2,1.8,1.8,0.97,0.1,1.75
10033000,5907014,59070165,resi,sfd,3,sfd3,2.4,2.4,0.97,0.1,2.33
10034001,5907014,59070165,resi,sfd,3,sfd3,2.4,2.4,0.97,0.1,2.33
692002,5907014,59070165,resi,sfd,2,sfd2,1.8,1.8,0.97,0.1,1.75
10038000,5907014,59070165,resi,sfd,2,sfd2,1.8,1.8,0.97,0.1,1.75
10039000,5907014,59070165,resi,sfd,1,sfd1,1.4,1.4,0.97,0.1,1.36
10041000,5907014,59070165,resi,sfd,2,sfd2,1.8,1.8,0.97,0.1,1.75
10044000,5907014,59070165,resi,sfd,2,sfd2,1.8,1.8,0.97,0.1,1.75
10044001,5907014,59070165,resi,sfd,2,sfd2,1.8,1.8,0.97,0.1,1.75
10039001,5907014,59070165,resi,sfd,1,sfd1,1.4,1.4,0.97,0.1,1.36
10046000,5907014,59070165,resi,sfd,2,sfd2,1.8,1.8,0.97,0.1,1.75
10047000,5907014,59070165,resi,sfd,3,sfd3,2.4,2.4,0.97,0.1,2.33
10039002,5907014,59070165,resi,sfd,1,sfd1,1.4,1.4,0.97,0.1,1.36
10050000,5907014,59070165,resi,sfd,1,sfd1,1.4,1.4,0.97,0.1,1.36
10055000,5907014,59070165,resi,sfd,1,sfd1,1.4,1.4,0.97,0.1,1.36
10075000,5907014,59070165,resi,sfd,2,sfd2,1.8,1.8,0.97,0.1,1.75
687001,5907014,59070165,resi,sfd,3,sfd3,2.4,2.4,0.97,0.1,2.33
10199000,5907014,59070165,resi,sfd,2,sfd2,1.8,1.8,0.97,0.1,1.75
10249000,5907014,59070165,resi,sfd,1,sfd1,1.4,1.4,0.97,0.1,1.36
10292000,5907014,59070165,resi,sfd,1,sfd1,1.4,1.4,0.97,0.1,1.36
10296000,5907014,59070166,resi,mf,27,mf,0.999565217,26.98826087,0.94,0.1,25.37
10300000,5907014,59070166,resi,mh,1,mh,1.8,1.8,0.94,0.1,1.69
254409,5907014,59070165,resi,mh,1,mh,1.8,1.8,0.97,0.1,1.75
10316000,5907014,59070166,resi,mf,60,mf,0.999565217,59.97391304,0.94,0.1,56.38
10321000,5907014,59070166,resi,sfd,2,sfd2,1.8,1.8,0.94,0.1,1.69
10324000,5907014,59070166,resi,mh,1,mh,1.8,1.8,0.94,0.1,1.69
10332000,5907014,59070167,resi,sfd,3,sfd3,2.4,2.4,0.98,0.1,2.35
10333000,5907014,59070167,resi,sfd,2,sfd2,1.8,1.8,0.98,0.1,1.76
10337000,5907014,59070167,resi,sfd,4,sfd4,2.7,2.7,0.98,0.1,2.65
10346000,5907014,59070167,resi,sfd,3,sfd3,2.4,2.4,0.98,0.1,2.35
10347003,5907028,59070161,resi,mh,1,mh,1.7,1.7,0.92,0.1,1.56
10347005,5907028,59070161,resi,mh,1,mh,1.7,1.7,0.92,0.1,1.56
10347006,5907028,59070161,resi,mh,1,mh,1.7,1.7,0.92,0.1,1.56
10347019,5907028,59070161,resi,mh,1,mh,1.7,1.7,0.92,0.1,1.56
10347022,5907028,59070161,resi,mh,1,mh,1.7,1.7,0.92,0.1,1.56
10347023,5907028,59070161,resi,mh,1,mh,1.7,1.7,0.92,0.1,1.56
10347026,5907028,59070161,resi,mh,1,mh,1.7,1.7,0.92,0.1,1.56
10347027,5907028,59070161,resi,mh,1,mh,1.7,1.7,0.92,0.1,1.56
10347028,5907028,59070161,resi,mh,1,mh,1.7,1.7,0.92,0.1,1.56
10352000,5907014,59070169,resi,sfd,1,sfd1,1.4,1.4,0.94,0.1,1.32
10353000,5907028,59070170,resi,mh,1,mh,1.7,1.7,0.95,0.1,1.62
10354000,5907028,59070170,resi,sfd,3,sfd3,2.0,2.0,0.95,0.1,1.9
10355000,5907028,59070170,resi,sfd,3,sfd3,2.0,2.0,0.95,0.1,1.9
10356000,5907028,59070170,resi,sfd,3,sfd3,2.0,2.0,0.95,0.1,1.9
10359000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10360000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10363000,5907028,59070170,resi,sfd,3,sfd3,2.0,2.0,0.95,0.1,1.9
10364000,5907028,59070170,resi,sfd,4,sfd4,3.5,3.5,0.95,0.1,3.33
10365000,5907028,59070170,resi,sfd,3,sfd3,2.0,2.0,0.95,0.1,1.9
10366000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10347041,5907028,59070161,resi,mh,1,mh,1.7,1.7,0.92,0.1,1.56
10347042,5907028,59070161,resi,mh,1,mh,1.7,1.7,0.92,0.1,1.56
10296001,5907014,59070166,resi,mf,27,mf,0.999565217,26.98826087,0.94,0.1,25.37
10368000,5907014,59070166,resi,sfd,6,sfd4,2.7,2.7,0.94,0.1,2.54
10296002,5907014,59070166,resi,mf,27,mf,0.999565217,26.98826087,0.94,0.1,25.37
10372000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10373000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10376000,5907028,59070170,resi,sfd,3,sfd3,2.0,2.0,0.95,0.1,1.9
10378000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10379000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10380000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10381000,5907028,59070170,resi,sfd,3,sfd3,2.0,2.0,0.95,0.1,1.9
10383000,5907028,59070170,resi,mh,1,mh,1.7,1.7,0.95,0.1,1.62
10384000,5907028,59070170,resi,mh,1,mh,1.7,1.7,0.95,0.1,1.62
10385000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10386000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10387000,5907028,59070170,resi,sfd,2,sfd2,1.8,1.8,0.95,0.1,1.71
10384001,5907028,59070170,resi,mh,1,mh,1.7,1.7,0.95,0.1,1.62
10388000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10389000,5907028,59070170,resi,sfd,2,sfd2,1.8,1.8,0.95,0.1,1.71
10393000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10394000,5907028,59070170,resi,sfd,3,sfd3,2.0,2.0,0.95,0.1,1.9
10395000,5907028,59070170,resi,sfd,2,sfd2,1.8,1.8,0.95,0.1,1.71
10382001,5907028,59070170,resi,mh,1,mh,1.7,1.7,0.95,0.1,1.62
10398000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10400000,5907028,59070170,resi,sfd,2,sfd2,1.8,1.8,0.95,0.1,1.71
10401000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10402000,5907028,59070170,resi,sfd,2,sfd2,1.8,1.8,0.95,0.1,1.71
10404000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10405000,5907028,59070170,resi,sfd,2,sfd2,1.8,1.8,0.95,0.1,1.71
10406000,5907028,59070170,resi,mh,1,mh,1.7,1.7,0.95,0.1,1.62
10407000,5907028,59070170,resi,sfd,3,sfd3,2.0,2.0,0.95,0.1,1.9
10408000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10409000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10410000,5907028,59070170,resi,sfd,2,sfd2,1.8,1.8,0.95,0.1,1.71
10411000,5907028,59070170,resi,mh,1,mh,1.7,1.7,0.95,0.1,1.62
10412000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10413000,5907028,59070170,resi,mh,1,mh,1.7,1.7,0.95,0.1,1.62
10414000,5907028,59070170,resi,mh,1,mh,1.7,1.7,0.95,0.1,1.62
10415000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10416000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
10417000,5907028,59070170,resi,mh,1,mh,1.7,1.7,0.95,0.1,1.62
10418000,5907028,59070170,resi,sfd,2,sfd2,1.8,1.8,0.95,0.1,1.71
