bid,CSDUID,DAUID,use1_gf,use2_gf,Bdrm_up,pop_ref,ref_val,pop_est,occu_rate,f0_elv,f0_scale
13547000,5907041,59070243,resi,sfd,2,sfd2,1.8,1.8,0.94,0.1,1.69
13548000,5907041,59070214,resi,sfd,3,sfd3,2.4,2.4,0.8,0.1,1.92
13549000,5907041,59070250,resi,sfd,3,sfd3,2.4,2.4,0.88,0.1,2.11
13551000,5907041,59070243,resi,sfd,4,sfd4,2.9,2.9,0.94,0.1,2.73
2187001,5907041,59070244,resi,sfd,3,sfd3,2.4,2.4,0.89,0.1,2.14
13552000,5907041,59070244,resi,sfd,6,sfd4,2.9,2.9,0.89,0.1,2.58
13557000,5907041,59070209,resi,sfd,4,sfd4,2.9,2.9,0.91,0.1,2.64
13558000,5907041,59070212,resi,sfd,2,sfd2,1.8,1.8,0.91,0.1,1.64
13559000,5907041,59070211,resi,sfd,4,sfd4,2.9,2.9,0.89,0.1,2.58
13560000,5907041,59070214,resi,sfd,6,sfd4,2.9,2.9,0.8,0.1,2.32
13561000,5907041,59070211,resi,sfd,3,sfd3,2.4,2.4,0.89,0.1,2.14
2252001,5907041,59070214,resi,sfd,2,sfd2,1.8,1.8,0.8,0.1,1.44
13562000,5907041,59070211,resi,sfd,6,sfd4,2.9,2.9,0.89,0.1,2.58
13497001,5907041,59070209,resi,sfd,2,sfd2,1.8,1.8,0.91,0.1,1.64
13563000,5907041,59070218,resi,sfd,4,sfd4,2.9,2.9,0.96,0.1,2.78
13564000,5907041,59070212,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
13565000,5907041,59070214,resi,sfd,6,sfd4,2.9,2.9,0.8,0.1,2.32
13567000,5907041,59070214,resi,sfd,2,sfd2,1.8,1.8,0.8,0.1,1.44
13568000,5907041,59070211,resi,sfd,6,sfd4,2.9,2.9,0.89,0.1,2.58
13569000,5907041,59070244,resi,sfd,4,sfd4,2.9,2.9,0.89,0.1,2.58
2335001,5907041,59070209,resi,sfd,2,sfd2,1.8,1.8,0.91,0.1,1.64
2337001,5907041,59070209,resi,sfd,3,sfd3,2.4,2.4,0.91,0.1,2.18
2380001,5907041,59070214,resi,sfd,1,sfd1,1.283333333,1.283333333,0.8,0.1,1.03
13572000,5907041,59070214,resi,sfd,4,sfd4,2.9,2.9,0.8,0.1,2.32
13573000,5907041,59070214,resi,sfd,2,sfd2,1.8,1.8,0.8,0.1,1.44
13574000,5907041,59070211,resi,sfd,6,sfd4,2.9,2.9,0.89,0.1,2.58
13576000,5907041,59070209,resi,sfd,1,sfd1,1.283333333,1.283333333,0.91,0.1,1.17
2388001,5907041,59070214,resi,sfd,2,sfd2,1.8,1.8,0.8,0.1,1.44
13578000,5907041,59070212,resi,sfd,2,sfd2,1.8,1.8,0.91,0.1,1.64
13579000,5907041,59070214,resi,sfd,4,sfd4,2.9,2.9,0.8,0.1,2.32
13580000,5907041,59070214,resi,sfd,5,sfd4,2.9,2.9,0.8,0.1,2.32
13577001,5907041,59070212,resi,sfd,3,sfd3,2.4,2.4,0.91,0.1,2.18
13582001,5907041,59070214,resi,sfd,3,sfd3,2.4,2.4,0.8,0.1,1.92
2360001,5907041,59070214,resi,sfd,2,sfd2,1.8,1.8,0.8,0.1,1.44
2348001,5907041,59070209,resi,sfd,1,sfd1,1.283333333,1.283333333,0.91,0.1,1.17
13585000,5907041,59070212,resi,mf,23,mf,0.859982639,19.77960069,0.91,0.1,18.0
13586000,5907041,59070213,resi,sfd,4,sfd4,2.9,2.9,0.96,0.1,2.78
13587001,5907041,59070209,resi,sfd,2,sfd2,1.8,1.8,0.91,0.1,1.64
2384001,5907041,59070212,resi,sfd,3,sfd3,2.4,2.4,0.91,0.1,2.18
13588000,5907041,59070214,resi,mf,6,mf,0.859982639,5.159895833,0.8,0.1,4.13
13589000,5907041,59070213,resi,sfd,3,sfd3,2.4,2.4,0.96,0.1,2.3
13590000,5907041,59070211,resi,sfd,2,sfd2,1.8,1.8,0.89,0.1,1.6
13591000,5907041,59070213,resi,sfd,2,sfd2,1.8,1.8,0.96,0.1,1.73
13592000,5907041,59070214,resi,sfd,1,sfd1,1.283333333,1.283333333,0.8,0.1,1.03
13593000,5907041,59070213,resi,sfd,2,sfd2,1.8,1.8,0.96,0.1,1.73
13594000,5907041,59070211,resi,sfd,2,sfd2,1.8,1.8,0.89,0.1,1.6
13581001,5907041,59070213,resi,sfd,2,sfd2,1.8,1.8,0.96,0.1,1.73
2383001,5907041,59070214,resi,sfd,5,sfd4,2.9,2.9,0.8,0.1,2.32
13595000,5907041,59070214,resi,sfd,2,sfd2,1.8,1.8,0.8,0.1,1.44
13596000,5907041,59070212,resi,sfd,3,sfd3,2.4,2.4,0.91,0.1,2.18
13597000,5907041,59070214,resi,sfd,1,sfd1,1.283333333,1.283333333,0.8,0.1,1.03
2408001,5907041,59070211,resi,sfd,6,sfd4,2.9,2.9,0.89,0.1,2.58
13601000,5907041,59070214,resi,sfd,2,sfd2,1.8,1.8,0.8,0.1,1.44
13602000,5907041,59070214,resi,sfd,3,sfd3,2.4,2.4,0.8,0.1,1.92
13603000,5907041,59070212,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
13604000,5907041,59070210,resi,sfd,4,sfd4,2.9,2.9,0.9,0.1,2.61
2423001,5907041,59070213,resi,sfd,2,sfd2,1.8,1.8,0.96,0.1,1.73
13605000,5907041,59070213,resi,mf,4,mf,0.859982639,3.439930556,0.96,0.1,3.3
13606000,5907041,59070214,resi,sfd,4,sfd4,2.9,2.9,0.8,0.1,2.32
13583001,5907041,59070212,resi,sfd,3,sfd3,2.4,2.4,0.91,0.1,2.18
13607000,5907041,59070218,resi,sfd,3,sfd3,2.4,2.4,0.96,0.1,2.3
13608000,5907041,59070218,resi,sfd,2,sfd2,1.8,1.8,0.96,0.1,1.73
2416001,5907041,59070218,resi,sfd,2,sfd2,1.8,1.8,0.96,0.1,1.73
2399001,5907041,59070218,resi,sfd,3,sfd3,2.4,2.4,0.96,0.1,2.3
13610000,5907041,59070213,resi,sfd,3,sfd3,2.4,2.4,0.96,0.1,2.3
13611000,5907041,59070213,resi,mf,42,mf,0.859982639,36.11927083,0.96,0.1,34.67
13612000,5907041,59070212,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
13613000,5907041,59070213,resi,sfd,3,sfd3,2.4,2.4,0.96,0.1,2.3
13614000,5907041,59070210,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
13615000,5907041,59070210,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
13616000,5907041,59070210,resi,sfd,6,sfd4,2.9,2.9,0.9,0.1,2.61
13617000,5907041,59070211,resi,mf,72,mf,0.859982639,61.91875,0.89,0.1,55.11
13618000,5907041,59070214,resi,sfd,3,sfd3,2.4,2.4,0.8,0.1,1.92
13620000,5907041,59070212,resi,sfd,4,sfd4,2.9,2.9,0.91,0.1,2.64
13621000,5907041,59070212,resi,sfd,3,sfd3,2.4,2.4,0.91,0.1,2.18
13622000,5907041,59070214,resi,sfd,3,sfd3,2.4,2.4,0.8,0.1,1.92
13623000,5907041,59070213,resi,mf,17,mf,0.859982639,14.61970486,0.96,0.1,14.03
13624000,5907041,59070214,resi,sfd,2,sfd2,1.8,1.8,0.8,0.1,1.44
13625000,5907041,59070212,resi,sfd,2,sfd2,1.8,1.8,0.91,0.1,1.64
2429001,5907041,59070212,resi,sfd,2,sfd2,1.8,1.8,0.91,0.1,1.64
13628000,5907041,59070212,resi,sfd,2,sfd2,1.8,1.8,0.91,0.1,1.64
13630000,5907041,59070214,resi,sfd,2,sfd2,1.8,1.8,0.8,0.1,1.44
13631000,5907041,59070209,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
13632000,5907041,59070210,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
13616001,5907041,59070210,resi,sfd,6,sfd4,2.9,2.9,0.9,0.1,2.61
2408002,5907041,59070211,resi,sfd,6,sfd4,2.9,2.9,0.89,0.1,2.58
13633000,5907041,59070212,resi,sfd,2,sfd2,1.8,1.8,0.91,0.1,1.64
13627001,5907041,59070214,resi,sfd,6,sfd4,2.9,2.9,0.8,0.1,2.32
13634000,5907041,59070212,resi,sfd,2,sfd2,1.8,1.8,0.91,0.1,1.64
13635000,5907041,59070213,resi,sfd,1,sfd1,1.283333333,1.283333333,0.96,0.1,1.23
13637000,5907041,59070210,resi,mf,22,mf,0.859982639,18.91961806,0.9,0.1,17.03
13638000,5907041,59070212,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
13639000,5907041,59070212,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
13640000,5907041,59070211,resi,sfd,2,sfd2,1.8,1.8,0.89,0.1,1.6
13641000,5907041,59070210,resi,sfd,3,sfd3,2.4,2.4,0.9,0.1,2.16
13642000,5907041,59070212,resi,sfd,6,sfd4,2.9,2.9,0.91,0.1,2.64
2506001,5907041,59070212,resi,sfd,3,sfd3,2.4,2.4,0.91,0.1,2.18
13643000,5907041,59070212,resi,sfd,2,sfd2,1.8,1.8,0.91,0.1,1.64
13645000,5907041,59070216,resi,sfd,4,sfd4,2.9,2.9,0.88,0.1,2.55
13646000,5907041,59070216,resi,sfd,4,sfd4,2.9,2.9,0.88,0.1,2.55
13647000,5907041,59070216,resi,sfd,3,sfd3,2.4,2.4,0.88,0.1,2.11
13648000,5907041,59070211,resi,sfd,2,sfd2,1.8,1.8,0.89,0.1,1.6
2513001,5907041,59070212,resi,sfd,2,sfd2,1.8,1.8,0.91,0.1,1.64
13649000,5907041,59070216,resi,sfd,6,sfd4,2.9,2.9,0.88,0.1,2.55
13651000,5907041,59070209,resi,mh,1,mh,1.6,1.6,0.91,0.1,1.46
13651001,5907041,59070209,resi,mh,1,mh,1.6,1.6,0.91,0.1,1.46
13652000,5907041,59070210,resi,sfd,1,sfd1,1.283333333,1.283333333,0.9,0.1,1.16
13653000,5907041,59070216,resi,sfd,3,sfd3,2.4,2.4,0.88,0.1,2.11
