bid,0.2,0.05,0.01,0.005,0.002,0.0,ead
207036,0.0,36026.96,44254.947,45276.48,46258.213,46912.702,4761.962
207037,0.0,37353.627,44387.613,45873.48,46390.88,46735.813,4893.523
207038,0.0,0.0,15462.3,61422.013,69572.921,75006.86,842.529
207039,0.0,36159.627,44268.213,45395.88,46271.48,46855.213,4775.317
207040,0.0,0.0,3313.35,77478.66,87295.728,93840.44,696.545
207041,0.0,0.0,36955.627,41863.232,44427.413,46136.867,1156.16
207042,,0.0,0.0,0.0,0.0,,0.0
207043,,0.0,0.0,0.0,0.0,,0.0
208000,0.0,23400.0,218214.0,237178.8,255172.5,267168.3,8986.63
210000,0.0,27300.0,27300.0,188269.2,259182.0,306457.2,4915.239
211000,0.0,35100.0,317823.3,348016.5,378361.8,398592.0,13222.087
213000,,0.0,0.0,0.0,0.0,,0.0
214000,,0.0,0.0,0.0,0.0,,0.0
215000,0.0,44000.0,44000.0,44000.0,264181.683,410969.472,6417.424
218000,0.0,17000.0,17000.0,17000.0,17000.0,17000.0,2125.0
220000,0.0,19500.0,167109.0,186772.5,203925.0,215360.0,7084.715
221000,0.0,0.0,0.0,0.0,26000.0,43333.333,108.333
221001,0.0,0.0,0.0,0.0,33000.0,55000.0,137.5
223001,0.0,10000.0,10000.0,10000.0,330316.0,543860.0,2584.65
225000,0.0,54600.0,500578.0,539024.8,565909.7,583832.967,20604.711
225001,0.0,19500.0,196747.5,211536.0,219114.0,224166.0,7897.414
226000,,0.0,0.0,0.0,0.0,,0.0
229000,0.0,0.0,38000.0,38000.0,38000.0,38000.0,1140.0
231000,,0.0,0.0,0.0,0.0,,0.0
232000,,0.0,0.0,0.0,0.0,,0.0
233000,0.0,46000.0,292410.5,316756.0,335516.567,348023.612,13403.075
234000,0.0,3784674.743,3926018.457,4000545.143,4026244.0,4043376.571,477990.683
235000,0.0,154978.0,276137.333,296360.0,304544.0,310000.0,23192.8
237000,0.0,15600.0,108114.0,119337.6,127854.8,133532.933,4845.085
237001,0.0,14300.0,104325.0,114102.533,120122.283,124135.45,4586.664
238000,0.0,2417214.166,2651516.194,2667088.8,2667088.8,2667088.8,309297.626
239001,,0.0,0.0,0.0,0.0,,0.0
240000,0.0,40000.0,40000.0,40000.0,40000.0,40000.0,5000.0
241000,0.0,42000.0,77280.0,178560.0,201950.0,217543.333,7165.458
243000,,0.0,0.0,0.0,0.0,,0.0
244001,0.0,0.0,0.0,28600.0,28600.0,28600.0,214.5
249000,0.0,22100.0,156647.333,171983.6,182076.217,188804.628,6955.995
250000,0.0,48000.0,282844.0,305928.0,325191.2,338033.333,13298.713
250001,0.0,18000.0,115078.5,124575.6,133781.4,139918.6,5271.941
251000,,0.0,0.0,0.0,0.0,,0.0
252000,0.0,0.0,35100.0,35100.0,35100.0,35100.0,1053.0
253000,0.0,88000.0,88000.0,88000.0,397615.68,604026.133,12290.065
254000,0.0,36400.0,36400.0,36400.0,332475.267,529858.778,5783.647
254001,,0.0,0.0,0.0,0.0,,0.0
254003,0.0,0.0,36000.0,36000.0,36000.0,36000.0,1080.0
254004,0.0,58000.0,58000.0,58000.0,377602.04,590670.067,8581.675
