bid,wse_sA_0020_1218,wse_sA_0100_1218,wse_sA_0200_1218,wse_sA_0500_1218
5892000,0.0,0.0,0.0,0.0
5893000,0.0,0.0,0.0,0.0
5893001,0.0,0.0,0.0,0.0
5893002,0.0,0.0,0.0,0.0
5893003,0.0,0.0,0.0,0.0
5893004,0.0,0.0,0.0,0.0
5893005,0.0,0.0,0.0,0.0
5893006,0.0,0.0,0.0,0.0
5893007,0.0,0.0,0.0,0.0
5893008,0.0,0.0,0.0,0.0
5893009,0.0,0.0,0.0,0.0
5893010,0.0,0.0,0.0,0.0
5893011,0.0,0.0,0.0,0.0
5893012,0.0,0.0,0.0,0.0
5894001,0.0,0.0,0.0,0.0
5895000,0.0,0.0,0.0,0.0
5896000,0.0,0.0,0.0,0.0
5897001,62000.0,62000.0,62000.0,62000.0
5898000,0.0,0.0,0.0,0.0
5899000,0.0,0.0,0.0,0.0
5900000,0.0,0.0,0.0,0.0
5901001,0.0,0.0,0.0,0.0
5902000,40000.0,40000.0,40000.0,40000.0
5903000,50000.0,50000.0,50000.0,289537.5
5904001,0.0,0.0,0.0,0.0
5905000,0.0,0.0,0.0,0.0
5906000,0.0,0.0,0.0,0.0
5907001,0.0,0.0,0.0,0.0
5909000,0.0,0.0,0.0,0.0
5910001,0.0,0.0,0.0,0.0
5922000,6000.0,6000.0,6000.0,6000.0
5924000,0.0,0.0,0.0,0.0
5927000,11700.0,11700.0,11700.0,11700.0
5928001,0.0,8000.0,8000.0,8000.0
5928002,48000.0,48000.0,48000.0,48000.0
5929000,0.0,0.0,33300.0,66642.85714285714
5929001,0.0,10400.0,10400.0,10400.0
5929002,6500.0,6500.0,6500.0,6500.0
5929003,70000.0,70000.0,70000.0,70000.0
5930000,325024.7619047619,414525.7142857143,435920.0,448400.0
5930001,0.0,0.0,0.0,0.0
5930006,0.0,0.0,0.0,0.0
5930007,0.0,26055.2380952381,27860.95238095238,33084.76190476191
5930011,0.0,0.0,0.0,0.0
5930012,0.0,0.0,0.0,0.0
5930013,0.0,0.0,0.0,0.0
5930014,0.0,0.0,0.0,0.0
5931000,24000.0,24000.0,59573.399999999994,159666.0
5932000,0.0,0.0,0.0,0.0
5933000,0.0,0.0,0.0,0.0
5934000,0.0,0.0,0.0,0.0
5935000,0.0,0.0,0.0,0.0
5936001,0.0,0.0,0.0,0.0
5937000,0.0,0.0,0.0,0.0
5938000,0.0,0.0,0.0,0.0
5939000,37700.0,37700.0,37700.0,37700.0
5940000,31200.0,31200.0,31200.0,31200.0
5941001,0.0,0.0,0.0,0.0
5942000,0.0,0.0,0.0,0.0
5947001,38000.0,38000.0,38000.0,38000.0
5948000,0.0,0.0,0.0,0.0
5949000,0.0,0.0,0.0,0.0
5950000,0.0,0.0,0.0,0.0
5951000,0.0,0.0,0.0,0.0
5952000,0.0,0.0,0.0,0.0
5953000,0.0,0.0,0.0,0.0
5954000,0.0,0.0,0.0,0.0
5955000,0.0,32500.0,32500.0,32500.0
5955001,6500.0,6500.0,6500.0,6500.0
5955002,0.0,0.0,16900.0,16900.0
5955003,0.0,0.0,0.0,15600.0
5955004,0.0,0.0,0.0,0.0
5955005,20800.0,20800.0,20800.0,20800.0
5955006,20800.0,20800.0,20800.0,20800.0
5955007,27300.0,27300.0,27300.0,27300.0
5955008,7800.0,7800.0,7800.0,7800.0
5955009,0.0,0.0,0.0,0.0
5955010,0.0,0.0,0.0,0.0
5955011,0.0,0.0,0.0,0.0
5956000,0.0,0.0,0.0,0.0
5956001,0.0,0.0,0.0,0.0
5956002,0.0,0.0,0.0,0.0
5956003,0.0,0.0,0.0,0.0
5956004,0.0,0.0,0.0,0.0
5957000,0.0,0.0,0.0,0.0
5957001,0.0,0.0,0.0,0.0
5958000,0.0,0.0,0.0,0.0
5959001,0.0,0.0,0.0,0.0
5960000,0.0,0.0,0.0,0.0
5961001,0.0,0.0,0.0,0.0
5962000,0.0,0.0,0.0,0.0
5962001,40000.0,40000.0,40000.0,40000.0
5962003,0.0,0.0,0.0,0.0
5962004,0.0,0.0,0.0,0.0
5962005,0.0,0.0,0.0,0.0
5962006,8000.0,8000.0,42493.399999999994,52898.0
5962007,0.0,0.0,0.0,0.0
5962008,0.0,0.0,0.0,0.0
5962009,0.0,0.0,0.0,0.0
5962010,0.0,0.0,0.0,0.0
5962011,0.0,16000.0,16000.0,16000.0
5962012,24000.0,24000.0,24000.0,24000.0
5962013,0.0,0.0,0.0,0.0
5962014,0.0,0.0,0.0,0.0
5962015,26000.0,26000.0,26000.0,26000.0
5962016,0.0,0.0,0.0,0.0
5962017,0.0,0.0,0.0,0.0
5962018,0.0,24000.0,24000.0,24000.0
5962019,0.0,0.0,0.0,0.0
5962020,0.0,0.0,0.0,0.0
5962021,0.0,0.0,0.0,0.0
5962022,0.0,0.0,0.0,24000.0
5962023,34000.0,34000.0,34000.0,34000.0
5962024,36000.0,36000.0,36000.0,36000.0
5962025,52000.0,52000.0,52000.0,52000.0
5962026,64000.0,64000.0,64000.0,64000.0
5962027,22000.0,22000.0,22000.0,22000.0
5962028,0.0,0.0,0.0,0.0
5962029,0.0,0.0,0.0,30000.0
5963001,0.0,0.0,0.0,0.0
5964000,0.0,0.0,0.0,0.0
5964001,10000.0,10000.0,10000.0,10000.0
5965001,0.0,0.0,0.0,0.0
5966000,0.0,0.0,0.0,0.0
5966001,0.0,0.0,0.0,0.0
5966002,0.0,0.0,0.0,0.0
5966003,8000.0,8000.0,8000.0,8000.0
5966004,0.0,0.0,0.0,0.0
5966005,90000.0,90000.0,90000.0,90000.0
5966006,0.0,0.0,0.0,0.0
5966007,0.0,98000.0,98000.0,98000.0
5966008,0.0,0.0,0.0,0.0
5966009,0.0,0.0,0.0,0.0
5966010,0.0,0.0,0.0,0.0
5966011,0.0,0.0,0.0,0.0
5966013,0.0,0.0,0.0,0.0
5966015,0.0,0.0,0.0,0.0
5966016,0.0,0.0,0.0,0.0
5966018,0.0,0.0,0.0,0.0
5966019,0.0,0.0,0.0,0.0
5966021,0.0,0.0,0.0,0.0
5966022,0.0,0.0,0.0,0.0
5966023,0.0,0.0,0.0,0.0
5966024,0.0,0.0,0.0,0.0
5966025,0.0,0.0,0.0,0.0
5966027,0.0,0.0,0.0,0.0
5966028,0.0,0.0,0.0,0.0
5966029,0.0,0.0,0.0,0.0
5966030,0.0,0.0,0.0,0.0
5966031,0.0,0.0,0.0,0.0
5966032,0.0,0.0,0.0,0.0
5966033,0.0,0.0,0.0,0.0
5966037,0.0,0.0,0.0,0.0
5966038,0.0,0.0,0.0,0.0
5966039,0.0,0.0,0.0,0.0
5966040,0.0,44000.0,44000.0,44000.0
5966041,0.0,0.0,0.0,0.0
5966042,0.0,0.0,0.0,88000.0
5966043,0.0,0.0,0.0,0.0
5966044,0.0,0.0,0.0,0.0
5966045,0.0,0.0,0.0,0.0
5966046,0.0,0.0,0.0,100000.0
5968000,0.0,0.0,0.0,0.0
5969000,0.0,0.0,0.0,0.0
5969001,16000.0,16000.0,16000.0,100592.93333333332
5969002,0.0,0.0,0.0,0.0
5970001,0.0,0.0,0.0,0.0
5972001,0.0,0.0,0.0,0.0
5973001,0.0,0.0,0.0,0.0
5974000,0.0,0.0,0.0,36400.0
5975000,0.0,54000.0,54000.0,54000.0
5976000,0.0,0.0,0.0,32000.0
5976001,22000.0,22000.0,22000.0,22000.0
5978001,13000.0,13000.0,13000.0,13000.0
5980000,0.0,0.0,0.0,0.0
5981001,0.0,0.0,0.0,0.0
5982000,0.0,0.0,0.0,0.0
5983001,19500.0,19500.0,19500.0,19500.0
5984000,0.0,0.0,0.0,0.0
5985000,0.0,0.0,0.0,0.0
5986000,0.0,0.0,0.0,0.0
5986001,0.0,18200.0,18200.0,18200.0
5986002,13000.0,13000.0,13000.0,13000.0
5986003,0.0,0.0,0.0,0.0
5986004,0.0,0.0,0.0,0.0
