xid,wse_sA_0020_1218,wse_sA_0100_1218,wse_sA_0200_1218,wse_sA_0500_1218
58,0.0,0.0,0.0,0.1738
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0
69,0.0,0.0147,0.1617,0.2499
70,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.1238
73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0388
78,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0
103,0.0,0.0819,0.7358,0.7358
104,0.0,0.0,0.0,0.7149
105,0.0,0.0,0.0358,0.0529
106,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
111,0.0535,0.0662,0.224,0.3055
112,0.0,0.0,0.0834,0.0501
113,0.0091,0.8678,0.9726,0.9726
114,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0148
128,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0
133,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0
135,0.0034,0.0095,0.0095,0.019
136,0.0,0.0,0.0,0.0
137,0.0094,0.0236,0.0236,0.0377
138,0.0017,0.0157,0.0281,0.0375
139,0.0,0.0,0.0085,0.0313
140,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.029
142,0.0,0.0008,0.0018,0.062
143,0.0,0.0,0.0,0.0
144,0.0,0.0065,0.0075,0.0455
145,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0134,0.4503
148,0.1729,0.3059,0.3547,0.4567
149,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0
151,0.0028,0.0558,0.0893,0.0967
152,0.0,0.0,0.0,0.0
153,0.0554,0.1866,0.3032,0.2799
154,0.1851,0.4386,0.515,0.5834
155,0.0059,0.0409,0.0467,0.0934
156,0.0042,0.0381,0.0932,0.2417
157,0.0,0.0035,0.0046,0.0782
158,0.0189,0.155,0.1966,0.2911
159,0.0,0.0,0.0,0.0
160,0.0,0.0,0.0,0.0
161,0.5308,0.9504,0.9967,0.9967
162,0.0,0.0,0.0,0.0
163,0.0006,0.0023,0.0052,0.0062
164,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0
166,0.0,0.0,0.0,0.0
167,0.0,0.2506,0.2506,0.6592
168,0.0,0.0012,0.0324,0.0889
169,0.0744,0.0726,0.0726,0.242
170,0.026,0.1796,0.2098,0.222
171,0.0,0.0,0.0,0.0
172,0.0,0.0002,0.0009,0.0148
173,0.0,0.0,0.0,0.0
174,0.0,0.0,0.0002,0.0188
175,0.0,0.0,0.0,0.0
176,0.0,0.0,0.0,0.0393
177,0.0,0.0,0.0,0.0
178,0.0,0.0219,0.0591,0.4309
179,0.0012,0.006,0.0063,0.0152
180,0.0017,0.035,0.1137,0.6822
181,0.0,0.0,0.0,0.0
182,0.0,0.0,0.0,0.0
183,0.0046,0.0156,0.02,0.0342
184,0.0099,0.0808,0.1212,0.3958
185,0.0637,0.091,0.1001,0.1092
186,0.0,0.0,0.0,0.0
187,0.124,0.1559,0.1718,0.1736
188,0.0006,0.0025,0.0035,0.0069
189,1.0,1.0,1.0,1.0
190,0.3163,0.4942,0.5997,0.6145
191,0.0043,0.0294,0.0368,0.081
192,0.0425,0.0698,0.1137,0.1764
193,0.0,0.1167,0.2833,0.5905
194,0.3866,0.5477,0.6652,0.6747
195,0.1729,0.3626,0.4798,0.4872
196,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,0.0
198,0.0,0.0,0.0,0.0
199,0.0,0.0,0.0,0.0
200,0.0,0.0033,0.0033,0.0213
201,0.0,0.0,0.0,0.0
202,0.0,0.0,0.0,0.0
203,0.0,0.0,0.0,0.0
204,0.0,0.0,0.0004,0.3387
205,0.0,0.0714,0.4281,0.7136
206,0.0,0.0985,0.1137,0.2728
207,0.0,0.0086,0.0257,0.1486
208,0.0052,0.0121,0.0173,0.0311
209,0.0105,0.072,0.1123,0.3107
210,0.0,0.0,0.0,0.0
211,0.0,0.0,0.0,0.0
212,0.0,0.0,0.0,0.0
213,0.111,0.1543,0.3187,0.3391
214,0.0,0.0,0.0032,0.0082
215,0.0,0.3084,0.427,0.6117
216,0.1453,0.1937,0.1937,0.2179
217,0.2478,0.2478,0.2832,0.3894
218,0.0067,0.0607,0.0728,0.0971
219,0.0822,0.1086,0.1144,0.1526
220,0.0,0.0,0.0,0.0064
221,0.0008,0.0269,0.0269,0.1684
222,0.0793,0.119,0.119,0.1586
223,0.0168,0.0452,0.0453,0.0867
224,0.0,0.0,0.0,0.0
225,0.0,0.0,0.0,0.0
226,0.0005,0.0008,0.0019,0.0032
227,0.1743,0.2573,0.3071,0.4233
228,0.2173,0.3468,0.4148,0.4594
229,0.0,0.0566,0.1188,0.3239
230,0.0005,0.0018,0.0039,0.0166
231,0.0,0.0,0.0,0.0
232,0.0035,0.007,0.0092,0.0152
233,0.0066,0.0277,0.0342,0.0421
234,0.0,0.0022,0.0022,0.0107
235,0.027,0.0757,0.0757,0.1027
236,0.0466,0.1554,0.1554,0.2175
237,0.2044,0.2811,0.2811,0.3577
238,0.0,0.0247,0.1656,0.8832
239,0.0805,0.1878,0.2683,1.0
240,0.1783,0.2377,0.3566,1.0
241,0.0167,0.1341,0.3689,0.7712
242,0.0439,0.5541,0.7011,0.8802
243,0.0,0.0114,0.0342,0.1141
244,0.0,0.0,0.0,0.594
245,0.0,0.0,0.0,0.0082
246,0.0,0.0,0.0,0.1424
247,0.0206,0.0979,0.0979,0.3914
248,0.0,0.0,0.0,0.1638
249,0.0,0.0,0.0,0.0
250,0.0,0.0005,0.0014,0.0087
251,0.0,0.0,0.0,0.1684
252,0.0,0.0,0.0,0.0606
253,0.1697,0.4765,0.7181,0.9857
254,0.0123,0.0123,0.0157,0.0157
255,0.0258,0.1812,0.3625,0.58
256,0.0332,0.0615,0.0615,0.123
257,0.0,0.059,0.0787,0.0787
258,0.0028,0.0045,0.0045,0.0068
259,0.0135,0.0172,0.0325,0.1274
260,0.0806,0.1008,0.1209,0.1613
261,0.0698,0.1048,0.1135,0.1746
262,0.0,0.0,0.0,0.3688
263,0.1076,0.1614,0.1614,0.1883
264,0.2314,0.3067,0.3444,0.3955
265,0.0068,0.0508,0.0622,0.0873
266,0.0013,0.0019,0.0175,0.3729
267,0.0002,0.0007,0.0024,0.1443
268,0.0,0.0,0.0,0.0
269,0.0076,0.0113,0.0145,0.0435
270,0.0003,0.0039,0.0039,0.0247
271,0.0,0.0239,0.0694,0.4706
272,0.0008,0.0106,0.0141,0.0387
273,0.0001,0.0063,0.0126,0.0367
274,0.4802,0.6321,0.6566,0.7399
275,0.0006,0.001,0.0088,0.0764
276,0.0,0.0,0.0,0.1167
277,0.0155,0.1447,0.1447,0.1913
278,0.0,0.0001,0.0016,0.1432
279,0.0,0.0,0.0,0.2446
280,0.0,0.0,0.0,0.0
281,0.002,0.0496,0.0682,0.341
282,0.0034,0.0106,0.0182,0.0379
283,0.0,0.0031,0.0037,0.0077
284,0.0695,0.0695,0.0695,0.1431
285,0.0,0.0,0.0,0.0
286,0.0,0.0,0.0,0.0377
287,0.0,0.0,0.0,0.0
288,0.3019,0.3549,0.3712,0.4079
289,0.0224,0.0397,0.05,0.1621
290,0.0,0.0,0.0,0.0
291,0.0,0.0,0.0,0.0
292,0.0763,0.1621,0.1812,0.3146
293,0.0,0.0,0.0,0.0133
294,0.0,0.0,0.0217,0.7694
295,0.0,0.0,0.0,0.0
296,0.0002,0.0002,0.0003,0.0005
297,0.0049,0.0161,0.0389,0.1496
298,0.0,0.0,0.0,0.0
299,0.0001,0.0319,0.0531,0.0743
300,0.0183,0.0376,0.0376,0.1196
301,0.0,0.0,0.0,0.0
302,0.0,0.0,0.0,0.0
303,0.0267,0.0415,0.0461,0.0605
304,0.0,0.0,0.0,0.0
305,0.0053,0.0069,0.0074,0.0087
306,0.0001,0.0001,0.0004,0.0006
